,Genero,Idade,AnoMes,Qtd,previsao
291,Homens,15 a 19 anos,2009-04-01,25.0,
292,Homens,15 a 19 anos,2009-05-01,16.0,
293,Homens,15 a 19 anos,2009-06-01,27.0,
294,Homens,15 a 19 anos,2009-07-01,27.0,
295,Homens,15 a 19 anos,2009-08-01,23.0,
296,Homens,15 a 19 anos,2009-09-01,31.0,
297,Homens,15 a 19 anos,2009-10-01,23.0,
298,Homens,15 a 19 anos,2009-11-01,19.0,
299,Homens,15 a 19 anos,2009-12-01,18.0,
300,Homens,15 a 19 anos,2010-01-01,29.0,
301,Homens,15 a 19 anos,2010-02-01,26.0,
302,Homens,15 a 19 anos,2010-03-01,29.0,
303,Homens,15 a 19 anos,2010-04-01,31.0,
304,Homens,15 a 19 anos,2010-05-01,17.0,
305,Homens,15 a 19 anos,2010-06-01,18.0,
306,Homens,15 a 19 anos,2010-07-01,21.0,
307,Homens,15 a 19 anos,2010-08-01,22.0,
308,Homens,15 a 19 anos,2010-09-01,30.0,
309,Homens,15 a 19 anos,2010-10-01,25.0,
310,Homens,15 a 19 anos,2010-11-01,25.0,
311,Homens,15 a 19 anos,2010-12-01,60.0,
312,Homens,15 a 19 anos,2011-01-01,30.0,
313,Homens,15 a 19 anos,2011-02-01,31.0,
314,Homens,15 a 19 anos,2011-03-01,31.0,
315,Homens,15 a 19 anos,2011-04-01,36.0,
316,Homens,15 a 19 anos,2011-05-01,28.0,
317,Homens,15 a 19 anos,2011-06-01,29.0,
318,Homens,15 a 19 anos,2011-07-01,31.0,
319,Homens,15 a 19 anos,2011-08-01,34.0,
320,Homens,15 a 19 anos,2011-09-01,23.0,
321,Homens,15 a 19 anos,2011-10-01,45.0,
322,Homens,15 a 19 anos,2011-11-01,39.0,
323,Homens,15 a 19 anos,2011-12-01,34.0,
324,Homens,15 a 19 anos,2012-01-01,26.0,
325,Homens,15 a 19 anos,2012-02-01,29.0,
326,Homens,15 a 19 anos,2012-03-01,45.0,
327,Homens,15 a 19 anos,2012-04-01,33.0,
328,Homens,15 a 19 anos,2012-05-01,38.0,
329,Homens,15 a 19 anos,2012-06-01,37.0,
330,Homens,15 a 19 anos,2012-07-01,32.0,
331,Homens,15 a 19 anos,2012-08-01,35.0,
332,Homens,15 a 19 anos,2012-09-01,43.0,
333,Homens,15 a 19 anos,2012-10-01,35.0,
334,Homens,15 a 19 anos,2012-11-01,35.0,
335,Homens,15 a 19 anos,2012-12-01,41.0,
